   0.00000000       0.00000000    
  0.251327425      0.248689905    
  0.502654850      0.481753707    
  0.753982246      0.684547126    
   1.00530970      0.844327927    
   1.25663710      0.951056540    
   1.50796449      0.998026729    
   1.75929201      0.982287228    
   2.01061940      0.904826999    
   2.26194668      0.770513237    
   2.51327419      0.587785184    
   2.76460171      0.368124396    
   3.01592898      0.125333205    
   3.26725650     -0.125333369    
   3.51858401     -0.368124783    
   3.76991129     -0.587785363    
   4.02123880     -0.770513356    
   4.27256632     -0.904827178    
   4.52389336     -0.982287228    
   4.77522087     -0.998026729    
   5.02654839     -0.951056480    
   5.27787590     -0.844327807    
   5.52920341     -0.684546828    
   5.78053045     -0.481753707    
   6.03185797     -0.248689815    
   6.28318548       1.74845553E-07
